,recommendation_set_id,user_id,session_id,query_identifier,query_word_count,query_char_count,query_detected_language,query_document_id,document_language_provided,year_published,number_of_authors,abstract_word_count,abstract_char_count,abstract_detected_language,first_author_id,num_pubs_by_first_author,organization_id,application_type,item_type,request_received,hour_request_received,response_delivered,rec_processing_time,app_version,app_lang,user_os,user_os_version,user_java_version,user_timezone,country_by_ip,timezone_by_ip,local_time_of_request,local_hour_of_request,number_of_recs_in_set,recommendation_algorithm_id_used,algorithm_class,cbf_parser,search_title,search_keywords,search_abstract,time_recs_recieved,time_recs_displayed,time_recs_viewed,clicks,ctr,set_clicked
530,47449,\N,\N,Withheld for privacy,3,37,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 08:31,8,04/12/2018 08:31,0.048002699999999995,4.3.1,en,\N,\N,\N,\N,DE,\N,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
619,47542,\N,\N,Withheld for privacy,13,87,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 10:14,10,04/12/2018 10:14,5.28001,4.3.1,en,\N,\N,\N,\N,CN,Asia/Shanghai,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
656,47579,\N,\N,Withheld for privacy,2,13,et,32402983,en,\N,1,99,654,en,59555,464,1,digital_library,academic_publication,04/12/2018 10:49,10,04/12/2018 10:49,0.183799,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
702,47625,\N,\N,Withheld for privacy,5,42,en,114386847,\N,\N,1,\N,\N,\N,12424976,5,1,digital_library,academic_publication,04/12/2018 11:20,11,04/12/2018 11:20,2.18722,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
729,47652,\N,\N,Withheld for privacy,8,53,en,65680046,\N,2015,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 11:36,11,04/12/2018 11:36,1.9223400000000002,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
744,47667,\N,\N,Withheld for privacy,3,23,en,32412045,en,\N,4,94,647,en,1047941,429,1,digital_library,academic_publication,04/12/2018 11:52,11,04/12/2018 11:52,0.22771799999999998,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
752,47675,\N,\N,Withheld for privacy,3,25,ca,8140565,\N,\N,1,\N,\N,\N,710357,643,1,digital_library,academic_publication,04/12/2018 12:05,12,04/12/2018 12:05,0.618893,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
774,47697,\N,\N,Withheld for privacy,8,57,en,16475321,\N,2015,2,94,614,en,\N,\N,1,digital_library,academic_publication,04/12/2018 12:25,12,04/12/2018 12:25,2.64209,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
784,47708,\N,\N,Withheld for privacy,17,112,en,32855166,\N,\N,2,126,784,en,15429880,66,1,digital_library,academic_publication,04/12/2018 12:31,12,04/12/2018 12:31,4.09312,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
792,47716,\N,\N,Withheld for privacy,10,75,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 12:36,12,04/12/2018 12:36,3.84766,4.3.1,en,\N,\N,\N,\N,GB,Europe/London,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
802,47726,\N,\N,Withheld for privacy,6,55,en,13234199,\N,2005,2,177,1083,en,1571833,60,1,digital_library,academic_publication,04/12/2018 12:42,12,04/12/2018 12:42,1.84055,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
816,47740,\N,\N,Withheld for privacy,5,31,en,18936363,\N,2010,1,31,196,en,2665864,14,1,digital_library,academic_publication,04/12/2018 12:52,12,04/12/2018 12:52,1.82923,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,2,0.2857,1
824,47748,\N,\N,Withheld for privacy,7,53,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 13:07,13,04/12/2018 13:07,0.142697,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
842,47766,\N,\N,Withheld for privacy,16,110,en,73895850,en,2013,2,132,875,en,22247802,1,1,digital_library,academic_publication,04/12/2018 13:28,13,04/12/2018 13:28,5.81171,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,2,0.2857,1
847,47771,\N,\N,Withheld for privacy,6,55,en,13234199,\N,2005,2,177,1083,en,1571833,60,1,digital_library,academic_publication,04/12/2018 13:37,13,04/12/2018 13:37,0.0477705,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
859,47783,\N,\N,Withheld for privacy,14,101,en,110908085,\N,2012,3,\N,\N,\N,748835,86,1,digital_library,academic_publication,04/12/2018 13:43,13,04/12/2018 13:44,5.42729,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
869,47793,\N,\N,Withheld for privacy,6,44,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 13:52,13,04/12/2018 13:52,1.96333,4.3.1,en,\N,\N,\N,\N,CN,Asia/Shanghai,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
887,47811,\N,\N,Withheld for privacy,15,91,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 14:00,14,04/12/2018 14:00,4.80518,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
897,47821,\N,\N,Withheld for privacy,9,61,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 14:06,14,04/12/2018 14:06,3.00577,4.3.1,en,\N,\N,\N,\N,BR,America/Sao_Paulo,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,2,0.2857,1
954,47879,\N,\N,Withheld for privacy,18,126,en,64512022,\N,2011,8,247,1695,en,12445375,13,1,digital_library,academic_publication,04/12/2018 14:49,14,04/12/2018 14:49,4.47929,4.3.1,en,\N,\N,\N,\N,NO,Europe/Oslo,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,6,0.8571,1
963,47888,\N,\N,Withheld for privacy,7,46,en,20446431,\N,2008,3,97,595,en,12537978,7,1,digital_library,academic_publication,04/12/2018 14:55,14,04/12/2018 14:55,2.3089,4.3.1,en,\N,\N,\N,\N,FR,Europe/Paris,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
971,47896,\N,\N,Withheld for privacy,3,31,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 14:59,14,04/12/2018 14:59,0.273318,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,2,0.2857,1
984,47909,\N,\N,Withheld for privacy,13,92,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 15:06,15,04/12/2018 15:07,9.14863,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1002,47927,\N,\N,Withheld for privacy,11,76,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 15:27,15,04/12/2018 15:27,1.33239,4.3.1,en,\N,\N,\N,\N,NO,Europe/Oslo,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,7,1.0,1
1086,48014,\N,\N,Withheld for privacy,9,82,en,21610821,\N,2016,4,20,130,en,1100255,100,1,digital_library,academic_publication,04/12/2018 16:24,16,04/12/2018 16:24,2.33395,4.3.1,en,\N,\N,\N,\N,FR,Europe/Paris,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
1113,48041,\N,\N,Withheld for privacy,7,47,en,20324698,\N,2008,2,235,1636,en,5583435,68,1,digital_library,academic_publication,04/12/2018 16:51,16,04/12/2018 16:51,2.63678,4.3.1,en,\N,\N,\N,\N,GB,Europe/London,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
1159,48089,\N,\N,Withheld for privacy,10,71,en,80607505,\N,2015,2,402,2812,en,338171,153,1,digital_library,academic_publication,04/12/2018 17:27,17,04/12/2018 17:27,4.39709,4.3.1,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1226,48160,\N,\N,Withheld for privacy,10,51,en,76349535,\N,2016,2,127,831,en,22714669,3,1,digital_library,academic_publication,04/12/2018 18:35,18,04/12/2018 18:35,4.2531099999999995,4.3.1,en,\N,\N,\N,\N,NO,Europe/Oslo,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
1236,48170,\N,\N,Withheld for privacy,5,59,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 18:48,18,04/12/2018 18:48,0.313498,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
1281,48216,\N,\N,Withheld for privacy,7,55,it,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 19:50,19,04/12/2018 19:50,1.9547299999999999,4.3.1,en,\N,\N,\N,\N,US,America/New_York,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1346,48282,\N,\N,Withheld for privacy,13,86,en,45802552,\N,2014,30,268,1826,en,2517269,153,1,digital_library,academic_publication,04/12/2018 21:30,21,04/12/2018 21:30,0.112495,4.3.1,en,\N,\N,\N,\N,US,America/Chicago,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,2,0.2857,1
1437,48377,\N,\N,Withheld for privacy,5,34,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 01:10,1,05/12/2018 01:10,0.121794,4.3.1,de,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1527,48470,\N,\N,Withheld for privacy,2,15,de,80579564,\N,2002,2,\N,\N,\N,156456,88,1,digital_library,academic_publication,05/12/2018 06:22,6,05/12/2018 06:22,0.0403984,4.3.1,de,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,3,0.4286,1
1547,48491,\N,\N,Withheld for privacy,17,137,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 07:06,7,05/12/2018 07:06,3.9902800000000003,4.3.1,zh,\N,\N,\N,\N,\N,\N,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1641,48587,\N,\N,Withheld for privacy,10,70,en,20792973,\N,2008,21,143,949,en,6005968,59,1,digital_library,academic_publication,05/12/2018 09:42,9,05/12/2018 09:42,4.2209,4.3.1,en,\N,\N,\N,\N,BE,Europe/Brussels,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1676,48622,\N,\N,Withheld for privacy,8,53,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 10:24,10,05/12/2018 10:24,3.9296,4.3.1,en,\N,\N,\N,\N,IN,Asia/Kolkata,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1703,48650,\N,\N,Withheld for privacy,2,18,en,6986084,\N,2001,1,28,166,en,2862707,1,1,digital_library,academic_publication,05/12/2018 10:51,10,05/12/2018 10:51,0.28765799999999997,4.3.1,en,\N,\N,\N,\N,GB,Europe/London,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
1767,48715,\N,\N,Withheld for privacy,7,49,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 11:33,11,05/12/2018 11:33,1.34343,4.3.1,zh,\N,\N,\N,\N,HK,Asia/Hong_Kong,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1805,48755,\N,\N,Withheld for privacy,4,29,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 11:56,11,05/12/2018 11:56,0.247189,4.3.1,en,\N,\N,\N,\N,IS,Atlantic/Reykjavik,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1824,48774,\N,\N,Withheld for privacy,10,62,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 12:06,12,05/12/2018 12:06,1.44936,4.3.1,en,\N,\N,\N,\N,IS,Atlantic/Reykjavik,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1882,48833,\N,\N,Withheld for privacy,6,39,en,18461271,\N,2012,6,148,963,en,6016797,60,1,digital_library,academic_publication,05/12/2018 13:09,13,05/12/2018 13:09,1.23317,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
1903,48855,\N,\N,Withheld for privacy,10,72,en,30669459,\N,1976,2,140,897,en,15141357,5,1,digital_library,academic_publication,05/12/2018 13:31,13,05/12/2018 13:31,2.54664,4.3.1,en,\N,\N,\N,\N,GB,Europe/London,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,2,0.2857,1
1909,48861,\N,\N,Withheld for privacy,5,51,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 13:34,13,05/12/2018 13:34,1.80981,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
1959,48911,\N,\N,Withheld for privacy,14,112,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 14:28,14,05/12/2018 14:28,4.785880000000001,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,3,0.4286,1
2011,48963,\N,\N,Withheld for privacy,7,46,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 14:57,14,05/12/2018 14:57,2.4002,4.3.1,en,\N,\N,\N,\N,US,America/New_York,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
2055,49007,\N,\N,Withheld for privacy,9,61,en,32717858,\N,\N,3,140,944,en,6405022,50,1,digital_library,academic_publication,05/12/2018 15:19,15,05/12/2018 15:19,4.4278699999999995,4.3.1,en,\N,\N,\N,\N,CN,Asia/Shanghai,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
2065,49017,\N,\N,Withheld for privacy,11,71,en,66675041,\N,2007,3,\N,\N,\N,14061422,41,1,digital_library,academic_publication,05/12/2018 15:30,15,05/12/2018 15:30,2.9537400000000003,4.1,en,\N,\N,\N,\N,MY,Asia/Kuala_Lumpur,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
2067,49019,\N,\N,Withheld for privacy,8,58,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 15:32,15,05/12/2018 15:32,1.2541,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,3,0.4286,1
2080,49033,\N,\N,Withheld for privacy,6,24,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 15:42,15,05/12/2018 15:42,2.55298,4.3.1,en,\N,\N,\N,\N,PE,America/Lima,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
2128,49083,\N,\N,Withheld for privacy,6,48,fr,11682030,\N,2017,4,163,1052,en,5427232,43,1,digital_library,academic_publication,05/12/2018 16:29,16,05/12/2018 16:29,0.26869699999999996,4.3.1,fr,\N,\N,\N,\N,FR,Europe/Paris,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
2136,49092,\N,\N,Withheld for privacy,9,55,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 16:36,16,05/12/2018 16:36,3.9207699999999996,4.3.1,en,\N,\N,\N,\N,FR,Europe/Paris,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
2161,49118,\N,\N,Withheld for privacy,6,55,en,5075145,\N,2016,3,\N,\N,\N,2339841,3,1,digital_library,academic_publication,05/12/2018 17:01,17,05/12/2018 17:01,1.31579,4.3.1,en,\N,\N,\N,\N,US,America/New_York,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
2173,49130,\N,\N,Withheld for privacy,8,50,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 17:16,17,05/12/2018 17:16,0.047057199999999993,4.3.1,en,\N,\N,\N,\N,IT,Europe/Rome,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
2186,49143,\N,\N,Withheld for privacy,11,72,en,12637007,\N,2014,3,122,865,en,5006185,25,1,digital_library,academic_publication,05/12/2018 17:23,17,05/12/2018 17:23,3.0861,4.3.1,en,\N,\N,\N,\N,GH,Africa/Accra,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,5,0.7143,1
2279,49239,\N,\N,Withheld for privacy,6,47,en,11700402,\N,2017,5,88,592,en,15464,83,1,digital_library,academic_publication,05/12/2018 19:19,19,05/12/2018 19:19,0.9042479999999999,4.3.1,en,\N,\N,\N,\N,US,America/Chicago,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
2363,49329,\N,\N,Withheld for privacy,7,61,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,05/12/2018 22:09,22,05/12/2018 22:09,1.42184,4.3.1,en,\N,\N,\N,\N,SE,Europe/Stockholm,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
2528,49499,\N,\N,Withheld for privacy,7,45,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,06/12/2018 07:26,7,06/12/2018 07:26,2.9454,4.3.1,ja,\N,\N,\N,\N,JP,Asia/Tokyo,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
2529,49500,\N,\N,Withheld for privacy,15,120,en,10089785,\N,2013,4,116,831,en,3554629,82,1,digital_library,academic_publication,06/12/2018 07:30,7,06/12/2018 07:30,4.16735,4.3.1,en,\N,\N,\N,\N,JP,Asia/Tokyo,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
2574,49547,\N,\N,Withheld for privacy,15,97,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,06/12/2018 09:10,9,06/12/2018 09:11,4.38906,4.3.1,en,\N,\N,\N,\N,FR,Europe/Paris,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
2576,49549,\N,\N,Withheld for privacy,5,39,en,16662837,\N,2015,\N,135,930,en,\N,\N,1,digital_library,academic_publication,06/12/2018 09:13,9,06/12/2018 09:13,1.7021099999999998,4.3.1,en,\N,\N,\N,\N,RU,Europe/Moscow,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
2600,49573,\N,\N,Withheld for privacy,11,78,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,06/12/2018 09:35,9,06/12/2018 09:35,2.75062,4.3.1,en,\N,\N,\N,\N,\N,Europe/Vaduz,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
2615,49588,\N,\N,Withheld for privacy,2,19,en,15171132,\N,2015,1,7,39,en,2725772,73,1,digital_library,academic_publication,06/12/2018 09:50,9,06/12/2018 09:50,0.13158699999999998,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
2649,49623,\N,\N,Withheld for privacy,4,27,en,48443144,\N,2015,1,8,74,de,5637376,5,1,digital_library,academic_publication,06/12/2018 10:38,10,06/12/2018 10:38,0.19622699999999998,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
